iter	Logloss	Accuracy
296	0.2766669721	0.9058988764
297	0.2765904083	0.9058988764
298	0.2755271449	0.9058988764
299	0.2750542545	0.9058988764
300	0.2749944125	0.9058988764
301	0.2749589917	0.9058988764
302	0.2748727261	0.9073033708
303	0.2743574269	0.9073033708
304	0.274351929	0.9073033708
305	0.2740820573	0.9087078652
306	0.2740757447	0.9087078652
307	0.2739305088	0.9087078652
308	0.2738647208	0.9087078652
309	0.2738541598	0.9087078652
310	0.2735024037	0.9087078652
311	0.2733883156	0.9087078652
312	0.2731549958	0.9087078652
313	0.2727314892	0.9087078652
314	0.2723787878	0.9101123596
315	0.2723355429	0.9101123596
316	0.2721673671	0.91011235963317	0.2718530047	0.91011235963318	0.2717014441	0.91011235963319	0.2707216454	0.91011235963320	0.2705623032	0.91011235963321	0.2704998724	0.91011235963322	0.2701472626	0.91011235963323	0.2693985701	0.91011235963324	0.2693385726	0.91011235963325	0.2689526585	0.91151685393326	0.2689151372	0.91151685393327	0.2681165038	0.91292134833328	0.2677654327	0.91292134833329	0.2677392841	0.91151685393330	0.267334687	0.9129213483
331	0.2671438965	0.9129213483
332	0.2671013963	0.9129213483
333	0.2667860232	0.9129213483
334	0.2665202366	0.9129213483
335	0.2657167813	0.91292134833336	0.2656131056	0.91292134833337	0.2653675505	0.91151685393338	0.2653341995	0.91151685393339	0.2645251949	0.91151685393340	0.2640730607	0.91292134833341	0.2639554235	0.91151685393342	0.2637188714	0.91151685393343	0.2636610179	0.91292134833344	0.2635601064	0.91292134833345	0.2635413181	0.91292134833346	0.2634801338	0.91292134833347	0.263158736	0.9129213483
348	0.2626130118	0.9129213483
349	0.262390655	0.9129213483
350	0.2615233221	0.9129213483
351	0.2610901617	0.9129213483
352	0.2604611101	0.9129213483
353	0.2604259746	0.9129213483
354	0.2600714483	0.9129213483
355	0.2593835075	0.9101123596
356	0.2586437298	0.9115168539
357	0.258305108	0.9143258427
358	0.2580594772	0.9143258427
359	0.2578892861	0.9143258427
360	0.257769516	0.9143258427
361	0.2572305566	0.9157303371
362	0.2568686129	0.9143258427
363	0.2565586108	0.9143258427
364	0.2557551714	0.9143258427
365	0.2555533221	0.9143258427
366	0.2553937965	0.9143258427
367	0.2546599407	0.9143258427
368	0.2546105183	0.9143258427
369	0.2544830082	0.9143258427
370	0.2542338088	0.9143258427
